sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188288	NA20507	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124361	TSI	Tuscan	EUR	European
ERR188289	HG00232	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124128	GBR	British	EUR	European
ERR188290	NA20811	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123069	TSI	Tuscan	EUR	European
ERR188291	NA12813	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123024	CEU	CEPH	EUR	European
ERR188292	NA19189	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123869	YRI	Yoruba	AFR	African
ERR188293	HG00116	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125345	GBR	British	EUR	European
ERR188294	HG00332	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123987	FIN	Finnish	EUR	European
ERR188295	NA20757	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124176	TSI	Tuscan	EUR	European
ERR188296	HG00330	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123985	FIN	Finnish	EUR	European
ERR188297	NA20503	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124357	TSI	Tuscan	EUR	European
ERR188298	NA18867	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124904	YRI	Yoruba	AFR	African
ERR188299	HG00376	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124751	FIN	Finnish	EUR	European
ERR188300	HG00319	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124334	FIN	Finnish	EUR	European
ERR188301	NA11994	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123967	CEU	CEPH	EUR	European
ERR188302	HG00183	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123642	FIN	Finnish	EUR	European
ERR188303	HG00364	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124543	FIN	Finnish	EUR	European
ERR188304	HG00179	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124965	FIN	Finnish	EUR	European
ERR188305	NA20773	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124575	TSI	Tuscan	EUR	European
ERR188306	NA19138	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125236	YRI	Yoruba	AFR	African
ERR188307	HG00101	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125153	GBR	British	EUR	European
ERR188308	NA12760	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124465	CEU	CEPH	EUR	European
ERR188309	HG00150	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124591	GBR	British	EUR	European
ERR188310	HG00124	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME122870	GBR	British	EUR	European
ERR188311	NA18488	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124103	YRI	Yoruba	AFR	African
ERR188312	HG00233	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124127	GBR	British	EUR	European
ERR188313	NA18873	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123536	YRI	Yoruba	AFR	African
ERR188314	HG00380	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123031	FIN	Finnish	EUR	European
ERR188315	HG00120	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122874	GBR	British	EUR	European
ERR188316	NA20796	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123819	TSI	Tuscan	EUR	European
ERR188317	NA20527	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124013	TSI	Tuscan	EUR	European
ERR188318	HG00276	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123424	FIN	Finnish	EUR	European
ERR188319	NA12249	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125371	CEU	CEPH	EUR	European
ERR188320	HG00185	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123648	FIN	Finnish	EUR	European
ERR188321	HG00339	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123991	FIN	Finnish	EUR	European
ERR188322	NA19190	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124041	YRI	Yoruba	AFR	African
ERR188323	HG00257	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123047	GBR	British	EUR	European
ERR188324	NA07347	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123572	CEU	CEPH	EUR	European
ERR188325	NA06984	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124763	CEU	CEPH	EUR	European
ERR188326	HG00275	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123421	FIN	Finnish	EUR	European
ERR188327	NA06985	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124762	CEU	CEPH	EUR	European
ERR188328	HG00109	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125160	GBR	British	EUR	European
ERR188329	NA20505	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124359	TSI	Tuscan	EUR	European
ERR188330	HG00379	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124746	FIN	Finnish	EUR	European
ERR188331	NA12155	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124955	CEU	CEPH	EUR	European
ERR188332	HG00158	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124585	GBR	British	EUR	European
ERR188333	HG00238	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124131	GBR	British	EUR	European
ERR188334	NA20543	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125149	TSI	Tuscan	EUR	European
ERR188335	NA20798	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123821	TSI	Tuscan	EUR	European
ERR188336	NA12004	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125144	CEU	CEPH	EUR	European
ERR188337	HG00127	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122871	GBR	British	EUR	European
ERR188338	HG00134	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME123067	GBR	British	EUR	European
ERR188339	NA12815	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123022	CEU	CEPH	EUR	European
ERR188340	HG00353	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125120	FIN	Finnish	EUR	European
ERR188341	HG00328	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123799	FIN	Finnish	EUR	European
ERR188342	HG00111	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125340	GBR	British	EUR	European
ERR188343	NA20589	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122865	TSI	Tuscan	EUR	European
ERR188344	NA18868	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124910	YRI	Yoruba	AFR	African
ERR188345	NA20771	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124577	TSI	Tuscan	EUR	European
ERR188346	HG00312	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME124336	FIN	Finnish	EUR	European
ERR188347	NA20525	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124015	TSI	Tuscan	EUR	European
ERR188348	NA11995	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123968	CEU	CEPH	EUR	European
ERR188349	NA12842	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123542	CEU	CEPH	EUR	European
ERR188350	NA12399	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124193	CEU	CEPH	EUR	European
ERR188351	HG00253	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123051	GBR	British	EUR	European
ERR188352	NA18909	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123561	YRI	Yoruba	AFR	African
ERR188353	NA20586	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122864	TSI	Tuscan	EUR	European
ERR188354	NA12775	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124257	CEU	CEPH	EUR	European
ERR188355	HG00267	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123577	FIN	Finnish	EUR	European
ERR188356	NA20514	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124558	TSI	Tuscan	EUR	European
ERR188357	NA20517	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124557	TSI	Tuscan	EUR	European
ERR188358	HG00367	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124540	FIN	Finnish	EUR	European
